ticker,event_date,text_missing,sentiment_score,positive_prob,negative_prob,neutral_prob,uncertainty_ratio,hedging_ratio,forward_guidance_strength,litigious_ratio,pre_earnings_momentum,pre_earnings_volatility,post_earnings_gap,volume_spike,amihud_illiquidity,ret_1d,ret_3d
JPM,2021-04-14,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.002397280286852821,0.013237959160566968,-0.01700268092449475,1.1695733879148922,5.0890435995121015e-12,0.00634849462483178,0.009522969775843215
TSLA,2021-04-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.1932143233171837,0.033529283959599206,0.015903490815166954,0.9396676969476214,1.1214955073233416e-12,-0.045326479073682924,-0.08290433749994197
GOOGL,2021-04-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.12911402286133478,0.013878554162601336,0.003333452282713756,1.51192893055196,3.0080897251108384e-12,0.029707691705370243,0.027289669065930777
MSFT,2021-04-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.11184324776649612,0.012503720933700413,0.00011458456029966868,1.209476707954635,1.7490275078808644e-12,-0.028285682460992834,-0.037370634566304295
AAPL,2021-04-28,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.10709284770881955,0.013806875637512058,-0.0005953458688474633,1.25304398440773,1.1012988378068635e-12,-0.0007484770977383981,-0.007785475345701509
META,2021-04-28,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.04384144916285804,0.014498208428343838,0.012484657195173998,1.9605862392161741,2.0713363357051286e-12,0.0729730633815866,0.050407032841654376
AMZN,2021-04-29,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.13197115658337077,0.01235039787224518,0.01347405979433347,2.38727186095171,1.1011496718646646e-12,-0.001120636171800582,-0.045930786056778694
NVDA,2021-05-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.010967100243522543,0.02328987289823956,0.005528007737785057,1.2724292017574264,4.125970482626411e-12,-0.013503170951499888,0.035955475751121124
JPM,2021-07-13,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.00850704558550719,0.015401266268836563,-0.012341508033126503,1.2601560152930449,4.80213319688344e-12,-0.003405381709090549,-0.024028473691808827
TSLA,2021-07-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.0658322409669242,0.017625904983796254,0.011797065653702088,1.2934592627641655,1.04131288469855e-12,-0.01952494819687267,0.030002169021033698
GOOGL,2021-07-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.09384173887965419,0.011966952734750682,0.001607675268333164,2.280609607656779,2.9375589582032673e-12,0.03179695003276439,0.02142945956405784
AAPL,2021-07-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.10543103445274893,0.013595854484795847,0.000872293549699199,1.1924253472834476,9.279793048866788e-13,-0.012195852267919971,-0.006200329010532468
MSFT,2021-07-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.0756548067892231,0.00893711884675871,0.001314462047282694,1.4072867199960466,1.1503248915701374e-12,-0.0011168894705759769,-0.005688539768341272
META,2021-07-28,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.03421995554219115,0.01625814498599656,0.01835183555743436,1.9352402488053313,2.3495047667436704e-12,-0.04007712666664964,-0.05714207319650577
AMZN,2021-07-29,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.05283433336003229,0.014633527821698238,-0.0007079790040764866,1.5934874859270807,7.260728922908055e-13,-0.07564890713277761,-0.06491258469451822
NVDA,2021-08-18,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.0361159611608739,0.016095854328381447,0.0021583996740175415,1.1424441249842212,3.0384127275119017e-12,0.03981082026248162,0.15325621064800687
JPM,2021-10-13,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.04063788967745818,0.01557222094833436,-0.007800795206839739,1.8825952726861086,6.455395939249561e-12,0.015341890748878262,0.03447177604104823
TSLA,2021-10-20,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.18365584888588948,0.013184292708252544,0.0012496645968864684,0.7323969658923865,7.896037175305772e-13,0.03257101073349511,0.18371444176149665
META,2021-10-25,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.08193333359429522,0.02195783402897264,-0.013277465591743143,1.76838278542043,1.8820002216055286e-12,-0.039185896498351025,-0.03580869254549435
GOOGL,2021-10-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.025696035163500497,0.01670754320815123,0.013215878029593897,1.608739217565566,2.8607013695887243e-12,0.049595124486437214,0.06272086151978562
MSFT,2021-10-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.04745576590785494,0.01441651530949198,0.009313981100017354,1.1800084004533287,1.4113285247962387e-12,0.042114418890504934,0.06936236611091529
AMZN,2021-10-28,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.023079242293528646,0.014260685054867632,0.002832723324791342,2.0483315392895585,1.0786242881082655e-12,-0.021511245053778105,-0.038827061514978056
AAPL,2021-10-28,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.04890425139388821,0.010066117388179117,0.006516532554640575,1.3652522687247575,7.467861264902609e-13,-0.018155630333433925,-0.016713661001280244
NVDA,2021-11-17,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.359148557347015,0.031244113599303434,0.007118512209634886,1.1211654289320216,2.2118428340771384e-12,0.08249886927986916,0.09210195581268521
JPM,2022-01-14,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.07153603873565828,0.013634827936542235,-0.04440351898634898,3.1838680010329408,4.6396672067418505e-12,-0.04192791022835729,-0.06479172595189975
MSFT,2022-01-25,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.13455983630626422,0.015380357495182498,-0.016364958114648442,2.025738073846176,1.0460108911129143e-12,0.028493212168403392,0.06852942533297579
TSLA,2022-01-26,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.16046584653011975,0.04231438740785504,0.03705353711658921,1.2952662296952913,9.954193835191134e-13,-0.11554175561970448,-0.000736105819533317
AAPL,2022-01-27,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.10931982624801595,0.012758918400491197,0.01728344467899645,1.3090992344592403,6.913286508271779e-13,0.06977763409398352,0.09665866949481283
GOOGL,2022-02-01,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.06681768098374063,0.01931322629641212,0.016932117622747933,1.7894542013487902,2.853028428960199e-12,0.07523764090682894,0.041040755622301583
META,2022-02-02,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.05771842067822519,0.023653114271236557,0.02764908008072009,2.757088593636408,2.7979187036526526e-12,-0.26390109596069344,-0.3036843053484718
AMZN,2022-02-03,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,-0.10093897996506318,0.023242233529872366,-0.058926050760540916,2.9459595293602474,1.5336478150820663e-12,0.13535901735711864,0.1625403228066442
NVDA,2022-02-16,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.022854447535208156,0.0438071537535069,-0.00890715220094318,1.3401543936444777,2.7267839709181667e-12,-0.07559125265638278,-0.11772493170846099
JPM,2022-04-13,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.018014947040652318,0.01617097870495843,-0.03497017263186086,2.2268334952603523,6.921823733784935e-12,-0.009269459884673537,0.030007821925341682
TSLA,2022-04-20,True,-0.012287585064768791,0.021229680627584457,0.03324407339096069,0.9442345499992371,0.006198347107438017,0.0,0.0032056419297964416,0.0017421602787456446,0.11614701709204311,0.03705398823718785,0.0017993542377923166,0.9866153311963043,1.155489980201868e-12,0.03231684066245499,0.021305778821263166
